idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
1670	0.97485715	0.972	0.974	0.9628571	0.95666665	0.961	[1.0, 1.0, 0.98571426, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8318584, 0.8131868]	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7950311, 0.7867647]	[1.0, 1.0, 0.984, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82, 0.806]	2.6197424	0.071463436
1680	0.9711428	0.96933335	0.9706	0.96	0.95533335	0.9586	[1.0, 1.0, 0.99142855, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8318584, 0.7802198]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7950311, 0.75735295]	[1.0, 1.0, 0.992, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82, 0.774]	2.4096375	0.06477216
1690	0.9737143	0.97066665	0.9728	0.96114284	0.954	0.959	[1.0, 1.0, 0.9885714, 1.0, 1.0, 1.0, 1.0, 1.0, 0.81120944, 0.8131868]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.76397514, 0.7794118]	[1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 0.796, 0.804]	2.404727	0.06526008
1700	0.97171426	0.972	0.9718	0.9694286	0.96466666	0.968	[1.0, 1.0, 0.98285717, 1.0, 1.0, 1.0, 1.0, 0.99130434, 0.88495576, 0.8379121]	[1.0, 1.0, 0.97333336, 1.0, 1.0, 1.0, 1.0, 0.9870968, 0.85714287, 0.8235294]	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.99, 0.876, 0.834]	2.2745361	0.06828889
1710	0.97514284	0.97533333	0.9752	0.9702857	0.9713333	0.9706	[1.0, 1.0, 0.98285717, 1.0, 1.0, 1.0, 1.0, 0.9971014, 0.899705, 0.8269231]	[1.0, 1.0, 0.9866667, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9130435, 0.8088235]	[1.0, 1.0, 0.984, 1.0, 1.0, 1.0, 1.0, 0.996, 0.904, 0.822]	2.3025093	0.06432694
1720	0.97485715	0.976	0.9752	0.96685714	0.962	0.9654	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.86725664, 0.8131868]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.83229816, 0.7867647]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 1.0, 0.856, 0.806]	2.1765213	0.061930746
1730	0.97514284	0.97533333	0.9752	0.968	0.9633333	0.9666	[1.0, 1.0, 0.9885714, 1.0, 1.0, 1.0, 1.0, 1.0, 0.87315637, 0.8214286]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8385093, 0.7941176]	[1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 0.862, 0.814]	2.1358633	0.062065274
1740	0.97657144	0.9713333	0.975	0.95942855	0.95133334	0.957	[1.0, 1.0, 0.98571426, 1.0, 1.0, 1.0, 1.0, 0.9971014, 0.7935103, 0.8186813]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7080745, 0.8161765]	[1.0, 1.0, 0.988, 1.0, 1.0, 1.0, 1.0, 0.998, 0.766, 0.818]	2.085271	0.06238535
1750	0.9737143	0.972	0.9732	0.966	0.964	0.9654	[1.0, 1.0, 0.98571426, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8702065, 0.8076923]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8509317, 0.7867647]	[1.0, 1.0, 0.988, 1.0, 1.0, 1.0, 1.0, 1.0, 0.864, 0.802]	2.0596857	0.055951297
1760	0.9697143	0.9713333	0.9702	0.9657143	0.9633333	0.965	[1.0, 1.0, 0.98285717, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89085543, 0.78846157]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8757764, 0.75]	[1.0, 1.0, 0.986, 1.0, 1.0, 1.0, 1.0, 1.0, 0.886, 0.778]	1.9784222	0.05615133
